word_id,xhosa,infinitive,is_plural
1068,amacandelo omhlaza,,true
1069,igesi,,false
1070,iigesi,,true
1071,igumbi lokulindela,,false
1072,amagumbi okulindela,,true
1073,igumbi lokuxilongela,,false
1074,amagumbi okuxilongela,,true
1075,phantsi,,false
1076,amagumbi oogqirha,,true
1077,igazi,,false
1078,umngxuma,,false
1079,imingxuma,,true
1080,xonxa,ukuxonxa,false
1081,bhengeza,ukubhengeza,false
1082,isibhengezo,,false
1083,ngaphandle kwa-,,false
1084,ngaphandle kwa-,,false
1085,bheka,ukubheka,false
1086,brown,,false
1087,yela,ukuyela,false
1088,injikalanga,,false
1089,izibhengezo,,true
1090,uhlobo,,false
1091,uhlobo,,false
1092,iintlobo,,true
1093,iintlobo,,true
1094,igxalaba,,false
1095,phazama,ukuphazama,false
1096,amachaphaza,,true
1097,ichaphaza,,false
1098,unwele,,false
1099,thanda,ukuthanda,false
1100,umama,,false
1101,oomama,,true
1102,swim,ukudada,false
1103,peyinta,ukupeyinta,false
1104,onga,ukonga,false
1105,bilisa,ukubilisa,false
1106,chola,ukuchola,false
1107,oomama,,true
1108,amaqanda,,true
1109,qaba,ukuqaba,false
1110,sarha,ukusarha,false
1111,peta,ukupeta,false
1112,qokelela,ukuqokelela,false
1113,nyusa,ukunyusa,false
1114,iinyanga,,true
1115,thula,ukuthula,false
1116,ncothula,ukuncothula,false
1117,nzima,,false
1118,ifestile,,false
1119,inkomo,,false
1120,iinkomo,,true
1121,zamisa,ukuzamisa,false
1122,ezinzulwini zobusuku,,false
1123,inkulungwane,,false
1124,iinkulungwane,,true
1125,intlakohlaza,,false
1126,igumbi lokuhlambela,,false
1127,amagumbi okuhlambela,,true
1128,ucikicane,,false
1129,oocikicane,,true
1130,ucikicane,,false
1131,oocikicane,,true
1132,iifestile,,true
1133,indima,,false
1134,uMvulo,,false
1135,uLwesibini,,false
1136,uLwesithathu,,false
1137,uLwesine,,false
1138,uLwesihlanu,,false
1139,uMgqibelo,,false
1140,iCawe,,false
1141,oobhuthi,,true
1142,umakazi,,false
1143,oomakazi,,true
1144,udadebawo,,false
1145,oodadebawo,,true
1146,umkhuluwa,,false
